scenario,target,profile,method,confidence_level,center_empirical_coverage,q025_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,q975_empirical_coverage,center_relative_ci_width,q025_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,q975_relative_ci_width,center_coverage_error,q025_coverage_error,q25_coverage_error,q75_coverage_error,q975_coverage_error,n_seeds,n_replicates
logistic_glm,beta_1,P2,ppi_plus_plus,0.9,0.935,0.935,0.935,0.935,0.935,0.9584675952498458,0.9584675952498458,0.9584675952498458,0.9584675952498458,0.9584675952498458,0.03500000000000003,0.03500000000000003,0.03500000000000003,0.03500000000000003,0.03500000000000003,1,200
logistic_glm,beta_1,P2,ppi_plus_plus,0.95,0.97,0.97,0.97,0.97,0.97,0.9584675952498455,0.9584675952498455,0.9584675952498455,0.9584675952498455,0.9584675952498455,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_1,P2,ppi_plus_plus,0.975,0.985,0.985,0.985,0.985,0.985,0.9584675952498455,0.9584675952498455,0.9584675952498455,0.9584675952498455,0.9584675952498455,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,1,200
logistic_glm,beta_1,P3,naive_ml,0.9,0.0,0.0,0.0,0.0,0.0,0.002635354341507312,0.002635354341507312,0.002635354341507312,0.002635354341507312,0.002635354341507312,-0.9,-0.9,-0.9,-0.9,-0.9,1,200
logistic_glm,beta_1,P3,naive_ml,0.95,0.0,0.0,0.0,0.0,0.0,0.002635354341507309,0.002635354341507309,0.002635354341507309,0.002635354341507309,0.002635354341507309,-0.95,-0.95,-0.95,-0.95,-0.95,1,200
logistic_glm,beta_1,P3,naive_ml,0.975,0.0,0.0,0.0,0.0,0.0,0.002635354341507319,0.002635354341507319,0.002635354341507319,0.002635354341507319,0.002635354341507319,-0.975,-0.975,-0.975,-0.975,-0.975,1,200
logistic_glm,beta_1,P3,ppi,0.9,0.93,0.93,0.93,0.93,0.93,1.026268840499422,1.026268840499422,1.026268840499422,1.026268840499422,1.026268840499422,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,1,200
logistic_glm,beta_1,P3,ppi,0.95,0.975,0.975,0.975,0.975,0.975,1.0262688404994222,1.0262688404994222,1.0262688404994222,1.0262688404994222,1.0262688404994222,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,1,200
logistic_glm,beta_1,P3,ppi,0.975,0.995,0.995,0.995,0.995,0.995,1.026268840499422,1.026268840499422,1.026268840499422,1.026268840499422,1.026268840499422,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_1,P3,ppi_plus_plus,0.9,0.92,0.92,0.92,0.92,0.92,0.9569568498964555,0.9569568498964555,0.9569568498964555,0.9569568498964555,0.9569568498964555,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_1,P3,ppi_plus_plus,0.95,0.975,0.975,0.975,0.975,0.975,0.9569568498964551,0.9569568498964551,0.9569568498964551,0.9569568498964551,0.9569568498964551,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,1,200
logistic_glm,beta_1,P3,ppi_plus_plus,0.975,0.985,0.985,0.985,0.985,0.985,0.9569568498964556,0.9569568498964556,0.9569568498964556,0.9569568498964556,0.9569568498964556,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,1,200
logistic_glm,beta_1,P4,naive_ml,0.9,0.875,0.875,0.875,0.875,0.875,0.0729707262696505,0.0729707262696505,0.0729707262696505,0.0729707262696505,0.0729707262696505,-0.025000000000000022,-0.025000000000000022,-0.025000000000000022,-0.025000000000000022,-0.025000000000000022,1,200
logistic_glm,beta_1,P4,naive_ml,0.95,0.95,0.95,0.95,0.95,0.95,0.07297072626965058,0.07297072626965058,0.07297072626965058,0.07297072626965058,0.07297072626965058,0.0,0.0,0.0,0.0,0.0,1,200
logistic_glm,beta_1,P4,naive_ml,0.975,0.99,0.99,0.99,0.99,0.99,0.07297072626965047,0.07297072626965047,0.07297072626965047,0.07297072626965047,0.07297072626965047,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
logistic_glm,beta_1,P4,ppi,0.9,0.925,0.925,0.925,0.925,0.925,1.0571362964462576,1.0571362964462576,1.0571362964462576,1.0571362964462576,1.0571362964462576,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,1,200
logistic_glm,beta_1,P4,ppi,0.95,0.97,0.97,0.97,0.97,0.97,1.0571362964462572,1.0571362964462572,1.0571362964462572,1.0571362964462572,1.0571362964462572,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
