scenario,target,profile,scenario_signature,method,confidence_level,seed0_average_ci_width,seed0_empirical_coverage,average_ci_width_median_seed1_29,average_ci_width_q25_seed1_29,average_ci_width_q75_seed1_29,average_ci_width_min_seed1_29,average_ci_width_max_seed1_29,empirical_coverage_median_seed1_29,empirical_coverage_q25_seed1_29,empirical_coverage_q75_seed1_29,empirical_coverage_min_seed1_29,empirical_coverage_max_seed1_29
logistic_glm,beta_1,P2,logistic_glm:P2,ppi_plus_plus_v1,0.9,1.6690687305952236,0.8955,1.6763571615448667,1.6734509122256793,1.6799924352260773,1.6670066418420042,1.6873700049320377,0.895,0.892,0.9005,0.885,0.904
logistic_glm,beta_1,P2,logistic_glm:P2,ppi_plus_plus_v1,0.95,1.9888180602134085,0.949,1.9975027613509737,1.9940397516932353,2.0018344571154985,1.9863609299113574,2.0106253736324384,0.9485,0.946,0.9525,0.9415,0.957
logistic_glm,beta_1,P2,logistic_glm:P2,ppi_plus_plus_v1,0.975,2.2744000706311036,0.981,2.2843318413022518,2.2803715648105425,2.289285541869372,2.271590111568309,2.2993387797934592,0.975,0.974,0.978,0.969,0.982
logistic_glm,beta_1,P2,logistic_glm:P2,ppi_plus_plus_v2,0.9,1.6222029076300057,0.9025,1.6267486282891035,1.6246700183194942,1.6300751681413708,1.6224388060014119,1.634169919375063,0.9045,0.9015,0.907,0.8945,0.9155
logistic_glm,beta_1,P2,logistic_glm:P2,ppi_plus_plus_v2,0.95,1.9329739877606533,0.9585,1.9383905480123544,1.9359137314667492,1.9423543647293884,1.9332550780074669,1.9472335617668597,0.9535,0.951,0.9555,0.947,0.9645
logistic_glm,beta_1,P2,logistic_glm:P2,ppi_plus_plus_v2,0.975,2.2105371337080353,0.983,2.2167314786134313,2.2138990064838953,2.221264474970181,2.2108585867810855,2.2268442946171647,0.979,0.9775,0.9815,0.9745,0.985
logistic_glm,beta_1,P3,logistic_glm:P3,naive_ml,0.9,0.004479032953348678,0.0,0.004479981623561692,0.004475754986351942,0.004481880956981097,0.004467383264124217,0.00448650949142334,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_1,P3,logistic_glm:P3,naive_ml,0.95,0.00533709694910773,0.0,0.005338227359388762,0.005333191010517925,0.005340490554748917,0.005323215488206351,0.005346005793709617,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_1,P3,logistic_glm:P3,naive_ml,0.975,0.006103471162522085,0.0,0.006104763892749377,0.006099004355234749,0.006107352069008408,0.006087596409428192,0.006113659262276981,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_1,P3,logistic_glm:P3,ppi,0.9,1.74247445166539,0.9185,1.745142035017686,1.7418685589816203,1.7514768586848866,1.7349121689494367,1.7601406047152501,0.92,0.9175,0.9245,0.913,0.9335
logistic_glm,beta_1,P3,logistic_glm:P3,ppi,0.95,2.0762863718001197,0.9725,2.0794649934176297,2.075564406137509,2.087013401393074,2.0672753561563506,2.0973368915276804,0.9705,0.9695,0.973,0.9655,0.977
logistic_glm,beta_1,P3,logistic_glm:P3,ppi,0.975,2.3744282924330777,0.9915,2.378063344515514,2.3736026569529445,2.3866956573328366,2.3641233505046726,2.398501536996263,0.99,0.9885,0.991,0.9865,0.9955
logistic_glm,beta_1,P3,logistic_glm:P3,ppi_plus_plus_v1,0.9,1.667445703721224,0.8945,1.6766176095544996,1.6737760148973393,1.67863909526053,1.6699660216339454,1.6845924945000108,0.8955,0.8935,0.8995,0.883,0.905
logistic_glm,beta_1,P3,logistic_glm:P3,ppi_plus_plus_v1,0.95,1.986884104409165,0.9485,1.9978131042960006,1.9944271354198364,2.0002218530832194,1.9898872484321914,2.007315765820368,0.9475,0.946,0.9515,0.942,0.9555
logistic_glm,beta_1,P3,logistic_glm:P3,ppi_plus_plus_v1,0.975,2.2721884106981145,0.9785,2.284686747580616,2.2808145744516874,2.2874413778413643,2.2756227876854944,2.2955539327065826,0.9755,0.974,0.978,0.9695,0.9825
logistic_glm,beta_1,P3,logistic_glm:P3,ppi_plus_plus_v2,0.9,1.622398684173505,0.9025,1.6274378059337493,1.625290779417192,1.629629279659661,1.6226380189518366,1.633779037538012,0.905,0.902,0.9085,0.895,0.9135
logistic_glm,beta_1,P3,logistic_glm:P3,ppi_plus_plus_v2,0.95,1.9332072699007703,0.9575,1.9392117538268636,1.936653413937306,1.9418230558329923,1.9334924548789927,1.946767797330267,0.9545,0.952,0.957,0.9495,0.9635
logistic_glm,beta_1,P3,logistic_glm:P3,ppi_plus_plus_v2,0.975,2.210803913725048,0.984,2.2176706045193493,2.214744902796353,2.220656873392307,2.211130049507703,2.2263116492793706,0.9795,0.978,0.9815,0.975,0.9875
logistic_glm,beta_1,P4,logistic_glm:P4,naive_ml,0.9,0.04627071692525646,0.825,0.046291205904826944,0.04623981315619473,0.046329213624373776,0.046208607106238975,0.04637755774825845,0.8445,0.8355,0.848,0.8275,0.86
logistic_glm,beta_1,P4,logistic_glm:P4,naive_ml,0.95,0.055134959869001056,0.901,0.05515937399399096,0.05509813575690075,0.05520466298519691,0.0550609514548991,0.05526226856184255,0.91,0.908,0.914,0.8965,0.9225
logistic_glm,beta_1,P4,logistic_glm:P4,naive_ml,0.975,0.06305200014467048,0.943,0.06307991998747159,0.06300988831712964,0.06313171219856337,0.06296736457863862,0.06319758958082,0.9485,0.945,0.951,0.9405,0.9575
logistic_glm,beta_1,P4,logistic_glm:P4,ppi,0.9,1.7295956764383535,0.921,1.7344135552692503,1.729604321731115,1.7376976080605593,1.723561270017534,1.7473556664319654,0.9195,0.916,0.9235,0.9115,0.933
logistic_glm,beta_1,P4,logistic_glm:P4,ppi,0.95,2.060940364595356,0.972,2.066681221310946,2.0609506660970665,2.070594411572269,2.0537499258480434,2.08210269793792,0.9695,0.9675,0.9705,0.9645,0.9755
logistic_glm,beta_1,P4,logistic_glm:P4,ppi,0.975,2.356878693217011,0.991,2.363443901558896,2.3568904739508465,2.3679190018130565,2.348655751801748,2.3810798071408725,0.9895,0.9885,0.991,0.9865,0.996
logistic_glm,beta_1,P4,logistic_glm:P4,ppi_plus_plus_v1,0.9,1.6683042842112843,0.9,1.675570015403756,1.67245488437652,1.6782789457192566,1.6687198309407387,1.687858716431355,0.896,0.893,0.9,0.8845,0.905
logistic_glm,beta_1,P4,logistic_glm:P4,ppi_plus_plus_v1,0.95,1.9879071661641894,0.9505,1.9965648188727727,1.9928529113081934,1.9997927084357152,1.988402320632812,2.0112077093015723,0.947,0.945,0.951,0.941,0.957
logistic_glm,beta_1,P4,logistic_glm:P4,ppi_plus_plus_v1,0.975,2.27335837781298,0.979,2.2832592160675267,2.2790143014642545,2.286950610668571,2.273924633410182,2.300004735274011,0.976,0.9735,0.9785,0.969,0.9815
