scenario,target,profile,method,method_label,confidence_level,center_empirical_coverage,q025_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,q975_empirical_coverage,center_relative_ci_width,q025_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,q975_relative_ci_width,center_coverage_error,q025_coverage_error,q25_coverage_error,q75_coverage_error,q975_coverage_error,n_seeds,n_replicates
lr,beta_0,P4,naive_ml,Naive ML,0.9,0.8987499999999999,0.8817625,0.891625,0.901,0.9075500000000001,0.03691344543802183,0.03665539619725293,0.03684486196483233,0.03701379349769789,0.03717617853767466,-0.0012500000000000289,-0.01823750000000003,-0.008375000000000049,0.0010000000000000009,0.007550000000000004,30,2000
lr,beta_0,P4,naive_ml,Naive ML,0.95,0.9492499999999999,0.938,0.9435,0.951875,0.9578249999999999,0.03691344543802199,0.03665539619725299,0.036844861964832255,0.03701379349769786,0.03717617853767457,-0.0007499999999999729,-0.01200000000000001,-0.00649999999999995,0.0018750000000000155,0.007825000000000002,30,2000
lr,beta_0,P4,naive_ml,Naive ML,0.975,0.97375,0.9653625,0.970125,0.976375,0.9785,0.036913445438021955,0.03665539619725285,0.036844861964832255,0.03701379349769792,0.037176178537674576,-0.0012499999999999734,-0.009637499999999969,-0.0048749999999999905,0.0013750000000000429,0.0035000000000000586,30,2000
lr,beta_0,P4,ppi,PPI,0.9,0.895,0.8828125,0.892,0.9015,0.9116,1.0145401966726373,1.0075977613246077,1.012346125871941,1.0159914054277208,1.0212007461300654,-0.0050000000000000044,-0.017187500000000057,-0.008000000000000007,0.0015000000000000013,0.011599999999999949,30,2000
lr,beta_0,P4,ppi,PPI,0.95,0.948,0.9398624999999999,0.945125,0.9516249999999999,0.9605,1.0145401966726366,1.007597761324609,1.012346125871943,1.01599140542772,1.0212007461300616,-0.0020000000000000018,-0.010137499999999994,-0.0048749999999999905,0.0016250000000000153,0.010500000000000065,30,2000
lr,beta_0,P4,ppi,PPI,0.975,0.97275,0.9688625,0.972,0.975375,0.9801375,1.014540196672637,1.007597761324609,1.0123461258719404,1.0159914054277233,1.0212007461300625,-0.0022499999999999742,-0.00613749999999999,-0.0030000000000000027,0.00037500000000004197,0.005137500000000019,30,2000
lr,beta_0,P4,ppi_plus_plus_v1,PPI++V1,0.9,0.87825,0.8674000000000001,0.87325,0.881625,0.8901375,0.9910701051198014,0.9868373123600699,0.9893445095970655,0.9922833856321767,0.9949097987551639,-0.021750000000000047,-0.032599999999999976,-0.026750000000000024,-0.01837500000000003,-0.009862500000000024,30,2000
lr,beta_0,P4,ppi_plus_plus_v1,PPI++V1,0.95,0.93025,0.9209875,0.925125,0.934875,0.944,0.991070105119803,0.9868373123600677,0.989344509597066,0.9922833856321753,0.9949097987551633,-0.019749999999999934,-0.029012499999999955,-0.024874999999999925,-0.015124999999999916,-0.006000000000000005,30,2000
lr,beta_0,P4,ppi_plus_plus_v1,PPI++V1,0.975,0.96075,0.9480875,0.957625,0.96275,0.9695,0.9910701051198022,0.9868373123600702,0.989344509597066,0.9922833856321773,0.9949097987551637,-0.014249999999999985,-0.026912499999999985,-0.017374999999999974,-0.012250000000000011,-0.005499999999999949,30,2000
lr,beta_0,P4,ppi_plus_plus_v2,PPI++V2,0.9,0.8845000000000001,0.87085,0.8811249999999999,0.888875,0.899275,0.9715196615627507,0.9680117476080897,0.9704423032313607,0.9724082147616422,0.9746193513399856,-0.015500000000000014,-0.02914999999999997,-0.01887500000000003,-0.011125000000000024,-0.0007250000000000021,30,2000
