seed,scenario,target,profile,method,confidence_level,n_labeled,n_unlabeled,n_replicates,average_ci_width,empirical_coverage
0,lr,beta_0,P2,naive_ml,0.95,60,600,2000,5.947754218823749e-17,0.0
0,lr,beta_0,P2,ppi,0.95,60,600,2000,0.7143348808340344,0.9505
0,lr,beta_0,P2,ppi_plus_plus,0.95,60,600,2000,0.6870650537744839,0.9405
0,lr,beta_0,P3,naive_ml,0.95,60,600,2000,5.870246824311215e-17,0.0
0,lr,beta_0,P3,ppi,0.95,60,600,2000,0.7145075878663012,0.952
0,lr,beta_0,P3,ppi_plus_plus,0.95,60,600,2000,0.6872864741081786,0.942
0,lr,beta_0,P4,naive_ml,0.95,60,600,2000,0.02611978695307916,0.938
0,lr,beta_0,P4,ppi,0.95,60,600,2000,0.719092824559611,0.95
0,lr,beta_0,P4,ppi_plus_plus,0.95,60,600,2000,0.687918966756001,0.9415
0,lr,beta_0,baseline,classic,0.95,60,600,2000,0.7087021804494896,0.9395
0,lr,beta_0,P1,naive_ml,0.975,60,600,2000,0.002987042730523974,0.9705
0,lr,beta_0,P1,ppi,0.975,60,600,2000,0.8162574102475616,0.9755
0,lr,beta_0,P1,ppi_plus_plus,0.975,60,600,2000,0.7856157214448969,0.9705
0,lr,beta_0,P2,naive_ml,0.975,60,600,2000,6.801815050863725e-17,0.0
0,lr,beta_0,P2,ppi,0.975,60,600,2000,0.8169089651412597,0.976
0,lr,beta_0,P2,ppi_plus_plus,0.975,60,600,2000,0.7857233590613951,0.969
0,lr,beta_0,P3,naive_ml,0.975,60,600,2000,6.713178072408865e-17,0.0
0,lr,beta_0,P3,ppi,0.975,60,600,2000,0.8171064718384516,0.975
0,lr,beta_0,P3,ppi_plus_plus,0.975,60,600,2000,0.7859765739897305,0.969
0,lr,beta_0,P4,naive_ml,0.975,60,600,2000,0.02987042730523968,0.9705
0,lr,beta_0,P4,ppi,0.975,60,600,2000,0.8223501202484048,0.9755
0,lr,beta_0,P4,ppi_plus_plus,0.975,60,600,2000,0.7866998886818426,0.97
0,lr,beta_0,baseline,classic,0.975,60,600,2000,0.8104674437126623,0.9675
0,lr,beta_1,P1,naive_ml,0.9,60,600,2000,0.00268338650817287,0.885
0,lr,beta_1,P1,ppi,0.9,60,600,2000,0.7364954838383085,0.9035
0,lr,beta_1,P1,ppi_plus_plus,0.9,60,600,2000,0.6959921182330984,0.8905
0,lr,beta_1,P2,naive_ml,0.9,60,600,2000,6.309042767801856e-17,1.0
0,lr,beta_1,P2,ppi,0.9,60,600,2000,0.7380415786384951,0.902
0,lr,beta_1,P2,ppi_plus_plus,0.9,60,600,2000,0.6964928208702017,0.8905
0,lr,beta_1,P3,naive_ml,0.9,60,600,2000,6.187585455562129e-17,1.0
0,lr,beta_1,P3,ppi,0.9,60,600,2000,0.738234920994026,0.9035
0,lr,beta_1,P3,ppi_plus_plus,0.9,60,600,2000,0.6965477595133492,0.8935
0,lr,beta_1,P4,naive_ml,0.9,60,600,2000,0.026833865081728647,0.885
0,lr,beta_1,P4,ppi,0.9,60,600,2000,0.7420044148908431,0.902
0,lr,beta_1,P4,ppi_plus_plus,0.9,60,600,2000,0.6975607035298708,0.892
