scenario,target,profile,method,confidence_level,center_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,center_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,center_coverage_error,q25_coverage_error,q75_coverage_error,n_seeds,n_replicates
logistic_glm,beta_2,P1,naive_ml,0.95,0.949,0.948,0.95125,0.007202784431319563,0.00719295608050778,0.007209257182277251,-0.0010000000000000009,-0.0020000000000000018,0.0012500000000000566,30,2000
logistic_glm,beta_2,P1,naive_ml,0.975,0.9750000000000001,0.97225,0.977375,0.007202784431319539,0.007192956080507799,0.007209257182277251,5.551115123125783e-17,-0.0027500000000000024,0.0023750000000000437,30,2000
logistic_glm,beta_2,P1,ppi,0.9,0.9097500000000001,0.905375,0.915375,1.0123139568817472,1.0109578808678952,1.0136480415840354,0.009749999999999981,0.005374999999999991,0.015374999999999972,30,2000
logistic_glm,beta_2,P1,ppi,0.95,0.96175,0.957625,0.964375,1.0123139568817479,1.0109578808678958,1.0136480415840334,0.011750000000000038,0.007625000000000048,0.014375000000000054,30,2000
logistic_glm,beta_2,P1,ppi,0.975,0.98325,0.982,0.9855,1.0123139568817479,1.010957880867895,1.0136480415840348,0.008250000000000035,0.007000000000000006,0.010500000000000065,30,2000
logistic_glm,beta_2,P1,ppi_plus_plus,0.9,0.9027499999999999,0.899625,0.907375,0.9851957117793896,0.9847478019642134,0.9858966945057066,0.0027499999999999747,-0.00037500000000004197,0.007374999999999965,30,2000
logistic_glm,beta_2,P1,ppi_plus_plus,0.95,0.954,0.9516249999999999,0.958375,0.9851957117793875,0.984747801964213,0.9858966945057057,0.0040000000000000036,0.001625000000000043,0.008375000000000049,30,2000
logistic_glm,beta_2,P1,ppi_plus_plus,0.975,0.9790000000000001,0.9765,0.9808749999999999,0.9851957117793899,0.9847478019642117,0.9858966945057062,0.004000000000000059,0.0015000000000000568,0.005875000000000019,30,2000
logistic_glm,beta_2,P2,naive_ml,0.9,0.11,0.104375,0.1135,0.003607981642102019,0.0036049790446840745,0.0036117668884571453,-0.79,-0.795625,-0.7865,30,2000
logistic_glm,beta_2,P2,naive_ml,0.95,0.1805,0.1765,0.185875,0.0036079816421020166,0.003604979044684072,0.0036117668884571488,-0.7695,-0.7735,-0.7641249999999999,30,2000
logistic_glm,beta_2,P2,naive_ml,0.975,0.266,0.262,0.271625,0.003607981642102004,0.003604979044684068,0.003611766888457152,-0.709,-0.713,-0.703375,30,2000
logistic_glm,beta_2,P2,ppi,0.9,0.9115,0.908625,0.915375,1.0223149480223117,1.0209849224692238,1.023954788361025,0.011499999999999955,0.008624999999999966,0.015374999999999972,30,2000
logistic_glm,beta_2,P2,ppi,0.95,0.9630000000000001,0.95875,0.965,1.0223149480223124,1.0209849224692233,1.0239547883610225,0.013000000000000067,0.008750000000000063,0.015000000000000013,30,2000
logistic_glm,beta_2,P2,ppi,0.975,0.98375,0.982125,0.986375,1.0223149480223135,1.0209849224692231,1.0239547883610212,0.008750000000000036,0.00712500000000002,0.011375000000000052,30,2000
logistic_glm,beta_2,P2,ppi_plus_plus,0.9,0.9025,0.8997499999999999,0.906875,0.9860029554941299,0.9855631790962996,0.9866612934187257,0.0024999999999999467,-0.00025000000000005573,0.006874999999999992,30,2000
logistic_glm,beta_2,P2,ppi_plus_plus,0.95,0.9552499999999999,0.9515,0.957875,0.98600295549413,0.9855631790963018,0.9866612934187271,0.005250000000000032,0.0015000000000000568,0.007875000000000021,30,2000
