experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
a_mean,6,rf,RF,Random Forest Classifier,Brier,0.11699357528009426,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11797869402145404,4794,19176
a_mean,7,dt,DT,Decision Tree Classifier,Brier,0.1231933392364967,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.11936678677667523,4794,19176
a_mean,7,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11761951094059782,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11348037602900185,4794,19176
a_mean,7,lin,LIN,Logistic Regression,Brier,0.11772350717443276,"{""model__C"": 10.0}",0.11698782864874264,4794,19176
a_mean,7,rf,RF,Random Forest Classifier,Brier,0.11863233131027127,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11686233986340434,4794,19176
a_mean,8,dt,DT,Decision Tree Classifier,Brier,0.12369296149810394,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.12115814069695284,4794,19176
a_mean,8,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11735636708913955,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11867795650350692,4794,19176
a_mean,8,lin,LIN,Logistic Regression,Brier,0.116748091734561,"{""model__C"": 10.0}",0.12110727982478972,4794,19176
a_mean,8,rf,RF,Random Forest Classifier,Brier,0.1189273079039003,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11689485354567968,4794,19176
a_mean,9,dt,DT,Decision Tree Classifier,Brier,0.12247374937063693,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.11998228090148468,4794,19176
a_mean,9,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11812878273643035,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11886195860362497,4794,19176
a_mean,9,lin,LIN,Logistic Regression,Brier,0.1176238402565153,"{""model__C"": 10.0}",0.11863180073137597,4794,19176
