experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
b_lr,25,rf,RF,Random Forest Regressor,MSE,4153343694.3958654,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4994055764.214585,6364,25458
b_lr,26,dt,DT,Decision Tree Regressor,MSE,4321313842.189016,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",5232683403.175706,6364,25458
b_lr,26,gb,GB,Histogram Gradient Boosting Regressor,MSE,4016871452.975126,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4891600357.009957,6364,25458
b_lr,26,lin,LIN,Ridge Regression,MSE,4342653017.258893,"{""model__alpha"": 10.0}",5047384003.998506,6364,25458
b_lr,26,rf,RF,Random Forest Regressor,MSE,4049322295.7919574,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4913826733.621967,6364,25458
b_lr,27,dt,DT,Decision Tree Regressor,MSE,4575662171.508132,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4227385555.6024475,6364,25458
b_lr,27,gb,GB,Histogram Gradient Boosting Regressor,MSE,4298476548.10752,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",3790707193.926724,6364,25458
b_lr,27,lin,LIN,Ridge Regression,MSE,4667512193.897321,"{""model__alpha"": 10.0}",4097675391.3629847,6364,25458
b_lr,27,rf,RF,Random Forest Regressor,MSE,4299974857.817791,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",3871354374.709497,6364,25458
b_lr,28,dt,DT,Decision Tree Regressor,MSE,4426143403.705315,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",5127751837.42406,6364,25458
b_lr,28,gb,GB,Histogram Gradient Boosting Regressor,MSE,4091279705.553244,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4764300742.029689,6364,25458
b_lr,28,lin,LIN,Ridge Regression,MSE,4450352912.863732,"{""model__alpha"": 10.0}",5201107409.266737,6364,25458
b_lr,28,rf,RF,Random Forest Regressor,MSE,4134467644.0213513,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4793013126.67832,6364,25458
