experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
c_glm,6,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11024046554199936,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11347797133451906,990,3963
c_glm,6,lin,LIN,Logistic Regression,Brier,0.11165903804054869,"{""model__C"": 0.1}",0.10939612071883148,990,3963
c_glm,6,rf,RF,Random Forest Classifier,Brier,0.1142057590705533,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.10910567487638165,990,3963
c_glm,7,dt,DT,Decision Tree Classifier,Brier,0.116455313007374,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10}",0.11144166239571235,990,3963
c_glm,7,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.10686066451692341,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.10667612734221746,990,3963
c_glm,7,lin,LIN,Logistic Regression,Brier,0.10636138914231587,"{""model__C"": 1.0}",0.10985732585791216,990,3963
c_glm,7,rf,RF,Random Forest Classifier,Brier,0.11571994287967152,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.12988051561273342,990,3963
c_glm,8,dt,DT,Decision Tree Classifier,Brier,0.12021527160325071,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10}",0.10186623718101155,990,3963
c_glm,8,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.10600281692222402,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.09900015950933257,990,3963
c_glm,8,lin,LIN,Logistic Regression,Brier,0.10707265989838591,"{""model__C"": 0.1}",0.09863700941568718,990,3963
c_glm,8,rf,RF,Random Forest Classifier,Brier,0.1201855363736931,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.09960725157781057,990,3963
c_glm,9,dt,DT,Decision Tree Classifier,Brier,0.1253614438300955,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",0.11283164291249394,990,3963
