experiment,replicate,learner,method,diagnostic,lambda,value,fold_id,details
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.425,1645520.812398776,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.45,1629428.797827556,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.475,1614438.9328617333,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.5,1600551.7771581486,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.525,1587767.8962523686,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.55,1576087.8615587573,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.575,1565512.250377112,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.6,1556041.6458923249,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.625,1547676.6371801528,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.65,1540417.8192073728,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.675,1534265.7928355094,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.7,1529221.1648264462,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.725,1525284.5478416828,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.75,1522456.5604472747,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.775,1520737.8271185881,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.8,1520128.9782405207,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.825,1520630.6501120343,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.85,1522243.4849508228,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.875,1524968.1308950386,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.9,1528805.242006991,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.925,1533755.4782768665,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.95,1539819.5056263143,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,0.975,1546997.995912788,,
b_lr,6,dt,ppi_plus_plus_v2,lambda_grid,1.0,1555291.6269309847,,
b_lr,6,dt,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,7.683873263886198e-06,,
b_lr,6,dt,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,3.357854438945651e-09,,
b_lr,6,dt,cross_ppi,fold_tuning,,4610342015.507355,0.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,6,dt,cross_ppi,fold_tuning,,4254620033.273568,1.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,6,dt,cross_ppi,fold_tuning,,4117096570.9470615,2.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,6,dt,cross_ppi,fold_tuning,,4234794560.4338903,3.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,6,dt,cross_ppi,fold_tuning,,3902669675.5685697,4.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,6,dt,cross_ppi,cross_oof_quality,,4176228801.64073,,MSE
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.0,2087200.0691654936,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.025,2051981.0432845769,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.05,2017752.4047060572,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.075,1984514.678465264,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.1,1952268.3945392924,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.125,1921014.0878511332,,
